flavors,vm !=1(trap),vm==0时vd==0(trap),vstart !=0(trap),不支持的sew,,,,不支持的lmul,,,,,,,reg index对齐,,,,,,,,,,,,,,,,,,,,,if(lmul<1) overlap($); else overlap_widen($),,"if($<1) overlap(vd,lmul,vs2,$); else overlap_widen((vd,lmul,vs2,$)",,,reg index不相等,,,,,其他,,,,,index load,1/8 <= emul <=8(emul=lmul*eew/sew),,no_constraint,instr,match,mask,has_vs2,has_vs1,is_ready
,,,,8,16,32,64,1/8,1/4,1/2,1,2,4,8,"align(vd,lmul)","align(vd,lmul*2)","align(vd,emul)","align(vs2,lmul)","align(vs2,emul)","align(vs2,lmul*2)","align(vs2,lmul/2)","align(vs2,lmul/4)","align(vs2,lmul/8)","align(vs1,lmul)","align(vs1,emul)","align(vd,2)","align(vd,4)","align(vd,8)","align(vs2,2)","align(vs2,4)","align(vs2,8)","align(vs3,2)","align(vs3,4)","align(vs3,8)","align(vs3,nfield)","(vd, lmul*2, vs2, lmul)","(vd, lmul*2, vs1, lmul)",lmul/2,lmul/4,lmul/8,vd != vs2,vd != vs2 && vd != vs1,"if(vd != vs2)overlap(vd,1,vs2,lmul)","if(vd != vs2)overlap(vd,1,vs2,lmul*2)","if(vd != vs1)overlap(vd,1,vs1,lmul)",vm==0 && vd==0 && lmul>1(trap),"overlap(vd,lmul,vs2,1)","overlap(vd,lmul,vs1,1)","overlap(vd,lmul,vs1,emul)",(nf*emul <= 8) && (vd+nf*emul <= 32),所有约束,eew=16,eew=width,134,instr,match,mask,,,
"vadd.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vadd.vv,0x57,0xfc00707f,1,1,
"vadd.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vadd.vx,0x4057,0xfc00707f,1,0,
"vadd.vi vd, vs2, imm, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vadd.vi,0x3057,0xfc00707f,1,0,
"vsub.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vsub.vv,0x8000057,0xfc00707f,1,1,
"vsub.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsub.vx,0x8004057,0xfc00707f,1,0,
"vrsub.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vrsub.vx,0xc004057,0xfc00707f,1,0,
"vrsub.vi vd, vs2, imm, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vrsub.vi,0xc003057,0xfc00707f,1,0,
"vwaddu.vv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwaddu.vv,0xc0002057,0xfc00707f,1,1,
"vwaddu.vx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwaddu.vx,0xc0006057,0xfc00707f,1,0,
"vwsubu.vv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwsubu.vv,0xc8002057,0xfc00707f,1,1,
"vwsubu.vx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwsubu.vx,0xc8006057,0xfc00707f,1,0,
"vwadd.vv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwadd.vv,0xc4002057,0xfc00707f,1,1,
"vwadd.vx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwadd.vx,0xc4006057,0xfc00707f,1,0,
"vwsub.vv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwsub.vv,0xcc002057,0xfc00707f,1,1,
"vwsub.vx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwsub.vx,0xcc006057,0xfc00707f,1,0,
"vwaddu.wx vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,vwaddu.wv,0xd0002057,0xfc00707f,1,1,
"vwaddu.wx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,vwaddu.wx,0xd0006057,0xfc00707f,1,0,
"vwsubu.wx vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,vwsubu.wv,0xd8002057,0xfc00707f,1,1,
"vwsubu.wx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,vwsubu.wx,0xd8006057,0xfc00707f,1,0,
"vwadd.wv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,vwadd.wv,0xd4002057,0xfc00707f,1,1,
"vwadd.wx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,vwadd.wx,0xd4006057,0xfc00707f,1,0,
"vwsub.wv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,vwsub.wv,0xdc002057,0xfc00707f,1,1,
"vwsub.wx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,vwsub.wx,0xdc006057,0xfc00707f,1,0,
"vzext.vf2 vd, vs2, vm",,1,,1,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,vzext.vf2,0x48032057,0xfc0ff07f,1,0,
"vsext.vf2 vd, vs2, vm",,1,,1,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,vsext.vf2,0x4803a057,0xfc0ff07f,1,0,
"vzext.vf4 vd, vs2, vm",,1,,1,1,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,3,vzext.vf4,0x48022057,0xfc0ff07f,1,0,
"vsext.vf4 vd, vs2, vm",,1,,1,1,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,3,vsext.vf4,0x4802a057,0xfc0ff07f,1,0,
"vzext.vf8 vd, vs2, vm",,1,,1,1,1,,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,vzext.vf8,0x48012057,0xfc0ff07f,1,0,
